recall,size,M
0.3330999999999999,1945449.744140625,16
0.3634799999999999,1976649.888671875,24
0.3766100000000001,2007876.970703125,32
0.6441400000000005,2039109.751953125,40
0.6826000000000007,2070348.033203125,48
0.7163600000000007,2101598.908203125,56
0.7226300000000001,2132842.583984375,64
0.744200000000001,2164081.146484375,72
0.7543399999999991,2195324.896484375,80
0.7551999999999991,2226557.271484375,88
0.7714199999999999,2257805.833984375,96
0.7790099999999992,2289063.240234375,104
0.7800600000000004,2320309.083984375,112
0.7876900000000002,2351567.083984375,120
0.7934500000000001,2382825.583984375,128
