recall,size,bits
0.0296500000000001,4146.3408203125,64
0.0497400000000001,8292.5908203125,128
0.0599500000000001,12438.8408203125,192
0.07391,16585.0908203125,256
0.0919499999999999,20731.3408203125,320
0.1046499999999999,24877.5908203125,384
0.1115899999999998,29023.8408203125,448
0.12461,33170.0908203125,512
0.1402199999999998,37316.3408203125,576
0.1419599999999997,41462.5908203125,640
0.1549099999999999,45608.8408203125,704
0.16042,49755.0908203125,768
0.1677200000000001,53901.3408203125,832
0.1766199999999997,58047.5908203125,896
0.1855500000000001,62193.8408203125,960
