recall,size,M
0.7420599999999995,192204.369140625,16
0.7621900000000008,195951.888671875,24
0.7655999999999993,199698.845703125,32
0.9157500000000018,203445.689453125,40
0.9516500000000064,207197.845703125,48
0.9644500000000068,210945.064453125,56
0.9699700000000062,214695.583984375,64
0.9736200000000056,218445.208984375,72
0.9741900000000052,222192.083984375,80
0.979740000000005,225933.302734375,88
0.975930000000004,229685.458984375,96
0.9786100000000044,233436.115234375,104
0.979280000000004,237183.458984375,112
0.9773500000000054,240936.771484375,120
0.9778200000000054,244689.333984375,128
