recall,size,bits
0.24646,664.8408203125,64
0.3813499999999997,1329.5908203125,128
0.4458799999999999,1994.3408203125,192
0.4958800000000002,2659.0908203125,256
0.5285700000000003,3323.8408203125,320
0.5467400000000007,3988.5908203125,384
0.5734600000000005,4653.3408203125,448
0.5831899999999994,5318.0908203125,512
0.5928099999999998,5982.8408203125,576
0.6030200000000003,6647.5908203125,640
0.6167399999999998,7312.3408203125,704
0.6261000000000004,7977.0908203125,768
0.6330999999999999,8641.8408203125,832
0.6364,9306.5908203125,896
0.6299200000000001,9971.3408203125,960
