recall,size,tree_nums
0.4565499999999996,630351.5625,10
0.6121200000000009,745352.4375,20
0.6993800000000008,860127.46875,30
0.7652800000000011,974834.4375,40
0.7967700000000006,1089753.84375,50
0.8341900000000004,1204572.1875,60
0.8451400000000021,1319270.90625,70
0.8709800000000031,1434000.5625,80
0.8863500000000024,1548596.15625,90
0.895890000000003,1663373.25,100
0.9069200000000024,1778055.46875,110
0.9144500000000032,1892598.46875,120
0.9188500000000036,2007374.53125,130
0.9274100000000042,2122178.4375,140
0.9298400000000044,2237025.65625,150
